update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,hit_fraction,target_coverage_rate,complete_group_rate,coordinated_group_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,policy_loss,value_loss,entropy,approx_kl,actor_lr,wall_time_s
53,318000,189330.83252275307,0.0,0.0,0.425,0.5,0.34375,0.25,2.220833333333217,0.4514211429336686,0.17729401252501065,0.5527916666666667,-0.003945755236782133,0.2847999557852745,2.220359480381012,0.012292104376566915,0.00019108034725482865,1135.9762437343597
54,324000,183511.33382057445,0.0,0.0,0.41250000000000003,0.46875,0.3125,0.21875,5.5593749999996955,0.45473483663639314,0.1809601603802972,0.54745,-0.005871078814379871,0.28100644797086716,2.2136224269866944,0.01889161454449719,0.0001854000818964579,1162.1800122261047
55,330000,183785.27094823006,0.0,0.0,0.4125,0.5,0.3125,0.21875,2.704166666666521,0.4576539182529332,0.184190167616214,0.544625,-0.006085593556053937,0.2857672445476055,2.208031153678894,0.020810197799975682,0.00017966600314141124,1188.5998377799988
56,336000,139865.10870303222,0.0,0.0,0.3125,0.40625,0.1875,0.15625,1.9874999999998941,0.4559217932646716,0.1800564802067315,0.5422166666666667,-0.005136961978860199,0.22629938498139382,2.2025695204734803,0.017158856809943224,0.00017388695252351457,1218.6005594730377
57,342000,145329.1666056089,0.0,0.0,0.32499999999999996,0.46875,0.125,0.09375,2.624999999999857,0.4562353818826016,0.17973734115138496,0.5461166666666667,-0.006153118272777647,0.23228896781802177,2.1954835295677184,0.018529852562981387,0.0001680718409199468,1248.7554183006287
58,348000,112353.55858269852,0.0,0.0,0.25,0.375,0.125,0.0625,6.074999999999658,0.4525304976969763,0.17414422526802129,0.5412416666666666,-0.0062077011563815175,0.18996894136071205,2.18863183259964,0.02530728417539354,0.00016222963481131287,1278.7617111206055
59,354000,145298.11127707327,0.0,0.0,0.325,0.5,0.15625,0.09375,1.541666666666589,0.4532563228289296,0.17355754202331858,0.54695,-0.004101368159172125,0.2341614283621311,2.181791126728058,0.020540059721594072,0.0001563693424559808,1308.5840282440186
60,360000,172865.72490275349,0.0,0.0,0.38749999999999996,0.46875,0.28125,0.15625,3.4249999999998124,0.4554570358815102,0.17533230595990018,0.5486166666666666,-0.006506958912359551,0.2725530132651329,2.1753580808639525,0.023398622432897476,0.00015050000000000003,1338.6648545265198
61,366000,156069.89406204334,0.0,0.0,0.35000000000000003,0.4375,0.21875,0.15625,2.1770833333332247,0.4572561808942289,0.17611842695154636,0.5437583333333333,-0.002626496634911746,0.25247786566615105,2.16979238986969,0.002503425779292989,0.00014463065754401932,1368.5085887908936
62,372000,150730.2641682008,0.0,0.0,0.3375,0.375,0.21875,0.125,2.968749999999835,0.45685501254733224,0.17430826323532492,0.5428583333333333,-0.00012708315043710172,0.24343861117959023,2.1642817139625548,0.011663116693585173,0.00013877036518868723,1402.3577933311462
63,378000,128631.49634650256,0.0,0.0,0.2875,0.4375,0.15625,0.03125,4.712499999999732,0.4543016282354471,0.1703886432676935,0.5440416666666666,-0.0003228938672691584,0.21666082069277764,2.1583295822143556,0.010113961503983759,0.00013292815908005334,1432.9514179229736
64,384000,139904.97690349835,0.0,0.0,0.31249999999999994,0.46875,0.15625,0.09375,3.8624999999997813,0.4528914521555098,0.16638858136548448,0.5465,-0.001943165046395734,0.23688466250896453,2.1524614691734314,0.015778967604835836,0.00012711304747648557,1462.7785501480103
65,390000,183552.3368171933,0.0,0.0,0.4125,0.53125,0.28125,0.15625,4.6083333333330785,0.4572994345329199,0.16998699953083304,0.5458,-0.005326287943171337,0.3029282703995705,2.147762453556061,0.02325116910969218,0.00012133399685858888,1492.7043282985687
66,396000,161613.15743862605,0.0,0.0,0.36250000000000004,0.46875,0.21875,0.125,2.8437499999998463,0.45922955695704726,0.17208650844783174,0.5429666666666667,-0.0032639837489114145,0.2668684467673302,2.144363617897034,0.018115130154793935,0.0001155999181035422,1530.3546650409698
67,402000,200276.40746617215,0.0,0.0,0.45,0.5,0.375,0.28125,3.711458333333134,0.46529705830416573,0.17929890706028043,0.5395,-0.004028858142555691,0.32081895917654035,2.1412171721458435,0.01739607060292734,0.00010991965274517141,1560.0280849933624
68,408000,112340.18953741388,0.0,0.0,0.25,0.34375,0.125,0.03125,5.9333333333330005,0.461353703192149,0.1732097657834716,0.5360083333333333,-0.007194385793991387,0.19567375294864178,2.1379774451255797,0.026120847795053238,0.0001043019593409454,1590.5150475502014
69,414000,107121.56290125381,0.0,0.0,0.2375,0.34375,0.0625,0.0,6.524999999999629,0.4561276698291149,0.16440072881487824,0.5380833333333334,-0.006023687648121267,0.1894857257604599,2.133702301979065,0.020339820888905534,9.875549996691486e-05,1620.4360611438751
70,420000,178350.77634391212,0.0,0.0,0.4,0.5,0.25,0.15625,3.4499999999998145,0.4605966183881468,0.16986445906147676,0.543525,-0.006918406405020505,0.2939146012067795,2.1296066522598265,0.019941901439738795,9.328882686141912e-05,1651.8410654067993
71,426000,167113.83435361984,0.0,0.0,0.375,0.53125,0.1875,0.09375,3.799999999999788,0.4635987148193217,0.17244757790998827,0.5393416666666667,-0.003934299031971023,0.28149608001112936,2.126758301258087,0.01854874374360933,8.791036923815458e-05,1682.441469669342
72,432000,211106.2364304422,0.0,0.0,0.475,0.5,0.4375,0.3125,1.5833333333332509,0.4699789514243319,0.1806445646250057,0.5363833333333333,-0.006594300281722099,0.3323137491941452,2.1242279767990113,0.023211381399035426,8.26284202889378e-05,1712.127243757248
73,438000,150766.46355108335,0.0,0.0,0.33749999999999997,0.53125,0.15625,0.09375,2.899999999999844,0.4711303834650609,0.18125781975660316,0.5322083333333333,-0.005404009530320763,0.25005093216896057,2.1221136689186095,0.018868459215778798,7.745112439620525e-05,1741.755160331726
74,444000,128776.7170728849,0.0,0.0,0.2875,0.4375,0.15625,0.0625,7.193749999999593,0.46791859014114545,0.17614489343481513,0.5267916666666667,-0.003988845198182389,0.22714346870779992,2.1199952244758604,0.014698014209431908,7.238646457496569e-05,1772.0124757289886
