case,variant,variant_label,analysis_stratum,metric,N_episodes,mean,std,median,q1,q3,mean_ci95_low,mean_ci95_high
case2,no_trust,w/o Trust,complete_group_conditioned_episode,E_t_s,82,61.51718495934959,3.9541109180532046,62.083333333333336,57.35,64.003125,60.65835645325205,62.34327566056912
case2,no_gru,w/o GRU,strict_all_8_groups_complete,E_co_time_s,0,nan,nan,nan,nan,nan,nan,nan
case2,no_gru,w/o GRU,strict_all_8_groups_complete,E_n_terminal_sample_g,0,nan,nan,nan,nan,nan,nan,nan
case2,no_gru,w/o GRU,strict_all_8_groups_complete,E_miss_m,0,nan,nan,nan,nan,nan,nan,nan
case2,no_gru,w/o GRU,strict_all_8_groups_complete,E_t_s,0,nan,nan,nan,nan,nan,nan,nan
case2,no_gru,w/o GRU,complete_group_conditioned_episode,E_co_time_s,100,0.03165277777777784,0.01791678750330244,0.0277777777777762,0.02222222222222333,0.03356481481481468,0.028439814814814866,0.03537737268518521
case2,no_gru,w/o GRU,complete_group_conditioned_episode,E_n_terminal_sample_g,100,0.37114848858231964,0.06233063155145179,0.37358702713993197,0.33165060171285055,0.4091128190495108,0.3589146818526816,0.3831805786163359
case2,no_gru,w/o GRU,complete_group_conditioned_episode,E_miss_m,100,2.5612239173059232,0.11422603401631665,2.5765258806487923,2.4793316796033626,2.6338086125661277,2.538652709565169,2.5833075813894126
case2,no_gru,w/o GRU,complete_group_conditioned_episode,E_t_s,100,68.424125,1.68968348107085,68.0,67.66875,69.59166666666667,68.07720625,68.73348229166666
case2,no_attention_residual,w/o A-R,strict_all_8_groups_complete,E_co_time_s,0,nan,nan,nan,nan,nan,nan,nan
case2,no_attention_residual,w/o A-R,strict_all_8_groups_complete,E_n_terminal_sample_g,0,nan,nan,nan,nan,nan,nan,nan
case2,no_attention_residual,w/o A-R,strict_all_8_groups_complete,E_miss_m,0,nan,nan,nan,nan,nan,nan,nan
case2,no_attention_residual,w/o A-R,strict_all_8_groups_complete,E_t_s,0,nan,nan,nan,nan,nan,nan,nan
case2,no_attention_residual,w/o A-R,complete_group_conditioned_episode,E_co_time_s,99,2.950039749345305,4.298027199723263,0.088888888888887,0.041319444444443576,5.227777777777776,2.1375290520950245,3.816913346427235
case2,no_attention_residual,w/o A-R,complete_group_conditioned_episode,E_n_terminal_sample_g,99,0.4385198658615307,0.0907808094230534,0.42146211642798614,0.37336064925262924,0.5144733559771748,0.4211114482756861,0.45630909471060555
case2,no_attention_residual,w/o A-R,complete_group_conditioned_episode,E_miss_m,99,2.58187789364325,0.14381971383380052,2.6034539929431926,2.486067509863508,2.6812150279173337,2.5532491662690684,2.609165346764716
case2,no_attention_residual,w/o A-R,complete_group_conditioned_episode,E_t_s,99,63.86233164983165,4.9986617369763495,65.6,60.25833333333334,67.82499999999999,62.84532196969697,64.80787037037037
