update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,hit_fraction,target_coverage_rate,complete_group_rate,coordinated_group_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,policy_loss,value_loss,entropy,approx_kl,importance_ratio,actor_grad_norm,critic_grad_norm,adaptive_kl_coef,actor_lr,wall_time_s
55,225280,304421.97649404407,0.0,0.0,0.6875,0.8125,0.53125,0.53125,0.13000000000000184,0.4871931023644415,0.18748524993013468,0.5527612970298804,-0.0035262521589174865,0.1704113468527794,2.7367961406707764,0.015852651186287404,0.965611019730568,4.487369418144226,0.3669896211475134,0.2806058245912976,0.00021130712813983207,1111.1515913009644
56,229376,287952.44877522625,0.0,0.0,0.6499999999999999,0.71875,0.53125,0.53125,0.11187500000000158,0.4869097720962551,0.18988998419000824,0.5495953716812613,-0.008208479319000617,0.16020553484559058,2.7342503666877747,-0.001641433103941381,1.0006502538919448,4.1385004937648775,0.3502145268023014,0.12999206451927328,0.00020843358017458933,1131.004370689392
57,233472,298923.7848078534,0.0,0.0,0.675,0.75,0.5625,0.5625,0.11770833333333501,0.48753344844015956,0.19225234153833984,0.5553461914496489,-0.006304337526671588,0.16360910721123217,2.7315394043922425,0.01861645280732773,0.9785390347242355,4.66602098941803,0.4307225063443184,0.23315550556563153,0.00020553462062635933,1150.3120656013489
58,237568,304400.11993415654,0.0,0.0,0.6875,0.8125,0.53125,0.53125,0.1275000000000018,0.4881173006064027,0.1947426967984724,0.5537538075613689,-0.0069547768915072085,0.166499462723732,2.728717064857483,0.02197066031949362,0.9609802812337875,4.052495849132538,0.352715152874589,0.2549555453360181,0.00020261152107461133,1169.5933945178986
59,241664,337311.859883029,0.0,0.0,0.7625,0.875,0.625,0.625,0.10250000000000145,0.4930136128174854,0.1942761998970542,0.5465419994700382,0.021030292194336653,0.1725023791193962,2.725252664089203,0.015526841967948712,1.0428704142570495,11.805098176002502,0.45780406668782236,0.47829690000000014,0.00019966556368741813,1188.8214406967163
60,245760,309891.6177422106,0.0,0.0,0.7,0.84375,0.53125,0.53125,0.12500000000000178,0.49377919344366433,0.19293041675949132,0.539388791498744,-0.00258434172719717,0.1680916115641594,2.721547746658325,0.010117524256929755,0.9873059630393982,6.042351770401001,0.46525201462209226,0.3377129294182483,0.0001966980406590546,1207.9713945388794
61,249856,298942.2983848639,0.0,0.0,0.6749999999999999,0.78125,0.53125,0.53125,0.10416666666666816,0.49361027130800245,0.19266886959117038,0.5397952825990209,-0.006987242226023227,0.16371374651789666,2.7174786567687987,0.014536025561392307,0.9597279280424118,4.869358956813812,0.38140868693590163,0.161527047230667,0.00019371025364319845,1227.7270362377167
62,253952,309821.1428510323,0.0,0.0,0.7,0.84375,0.53125,0.53125,0.117708333333335,0.49382517606745013,0.19007057676670844,0.5335559566787004,-0.003033028042409569,0.1707819916307926,2.7137723922729493,0.019055351897259244,0.9588766694068909,4.949415218830109,0.46325130239129064,0.3520062428896751,0.00019070351318198215,1247.7129423618317
63,258048,304407.9720541164,0.0,0.0,0.6874999999999999,0.78125,0.5625,0.5625,0.12062500000000172,0.4942246204908692,0.19116248318825657,0.5389957648410021,-0.011853209300898015,0.16564209684729575,2.709620463848114,0.008107454888522625,0.9577027171850204,4.849496692419052,0.291503532230854,0.13421289602396153,0.00018767913813114569,1267.9926917552948
64,262144,282532.3117951602,0.0,0.0,0.6375,0.84375,0.375,0.375,0.1343750000000019,0.49130316766480336,0.18313121067427582,0.5212503238062344,-0.012795871449634432,0.16552372723817826,2.706381046772003,0.006008381018182263,0.9649943441152573,4.523996037244797,0.24267514869570733,0.08528779353109524,0.00018463845508154297,1287.15309548378
65,266240,315377.46708740294,0.0,0.0,0.7125,0.90625,0.5,0.5,0.1033333333333348,0.4926937690893391,0.18117599486744865,0.5299545893896012,-0.004016204550862312,0.16671886071562766,2.704020607471466,0.012838030885905027,0.9750349342823028,5.020683860778808,0.24866220802068711,0.1354938299689189,0.00018158279777725497,1309.2907946109772
66,270336,315368.8464656994,0.0,0.0,0.7124999999999999,0.875,0.53125,0.53125,0.10312500000000147,0.49420883129223336,0.18352822181049935,0.540877176985502,-0.004986460879445076,0.16481501534581183,2.7014278888702394,0.019933326658792792,0.9640159517526626,5.512403333187104,0.3813159320503473,0.16201569710815253,0.0001785135065305658,1337.4110097885132
67,274432,331827.2235560566,0.0,0.0,0.75,0.8125,0.65625,0.65625,0.09666666666666804,0.49751255173173814,0.18550774415518242,0.5388024109506732,-0.00033373538753949105,0.16758400052785874,2.6987812519073486,0.01899927986669354,0.9679410129785537,6.430774819850922,0.5251036278903485,0.21184267702269266,0.00017543192763405722,1357.6176507472992
68,278528,287919.414892599,0.0,0.0,0.65,0.6875,0.5625,0.5625,0.11812500000000167,0.4952829371233115,0.18613300715204195,0.5330377249794878,-0.00577791630057618,0.15768922716379166,2.695834922790527,0.01610663760220632,0.9844590127468109,6.514146542549133,0.2728117223829031,0.16619619188448137,0.0001723394127700805,1377.6739897727966
69,282624,320872.1177016385,0.0,0.0,0.7250000000000001,0.875,0.5625,0.5625,0.11562500000000164,0.49731546519033093,0.188741022077809,0.5442753436267826,0.0020726965158246458,0.16369532644748688,2.6929256319999695,0.01837388743297197,0.9500197976827621,7.458306407928466,0.3260825999081135,0.2980917126380723,0.00016923731841786343,1397.0688490867615
