time,train_processes,training_done,training_failed,latest_update_sum,post_pipeline_complete,gpu_memory_mib,gpu_util_percent
2026-08-01T16:30:56+08:00,7,1,0,4098,0,4430,95
2026-08-01T16:31:56+08:00,7,1,0,4118,0,4430,92
2026-08-01T16:32:56+08:00,7,1,0,4135,0,4430,92
2026-08-01T16:33:56+08:00,6,2,0,4154,0,3744,82
2026-08-01T16:34:56+08:00,6,2,0,4171,0,3748,95
2026-08-01T16:35:56+08:00,6,2,0,4188,0,3748,99
2026-08-01T16:36:56+08:00,6,2,0,4205,0,3748,92
2026-08-01T16:37:57+08:00,6,2,0,4222,0,3748,89
2026-08-01T16:38:57+08:00,6,2,0,4240,0,3748,87
2026-08-01T16:39:57+08:00,6,2,0,4258,0,3748,93
2026-08-01T16:40:57+08:00,6,2,0,4274,0,3748,93
2026-08-01T16:41:57+08:00,6,2,0,4292,0,3748,86
2026-08-01T16:42:57+08:00,6,2,0,4310,0,3744,90
2026-08-01T16:43:57+08:00,6,2,0,4327,0,3744,89
2026-08-01T16:44:57+08:00,6,2,0,4345,0,3744,83
2026-08-01T16:45:57+08:00,6,2,0,4361,0,3744,98
2026-08-01T16:46:57+08:00,6,2,0,4378,0,3744,99
2026-08-01T16:47:57+08:00,6,2,0,4396,0,3744,91
2026-08-01T16:48:57+08:00,6,2,0,4414,0,3744,88
2026-08-01T16:49:57+08:00,6,2,0,4431,0,3744,97
2026-08-01T16:50:57+08:00,6,2,0,4448,0,3744,99
2026-08-01T16:51:57+08:00,6,2,0,4464,0,3744,99
2026-08-01T16:52:57+08:00,6,2,0,4482,0,3744,87
2026-08-01T16:53:57+08:00,6,2,0,4500,0,3744,83
2026-08-01T16:54:57+08:00,6,2,0,4518,0,3744,74
2026-08-01T16:55:57+08:00,6,2,0,4534,0,3744,96
2026-08-01T16:56:57+08:00,6,2,0,4551,0,3744,80
2026-08-01T16:57:57+08:00,5,3,0,4567,0,3211,68
2026-08-01T16:58:57+08:00,4,4,0,4583,0,2678,78
2026-08-01T16:59:57+08:00,4,4,0,4597,0,2678,57
2026-08-01T17:00:57+08:00,4,4,0,4610,0,2678,75
2026-08-01T17:01:57+08:00,4,4,0,4625,0,2678,52
2026-08-01T17:02:57+08:00,3,5,0,4635,0,2145,91
2026-08-01T17:03:57+08:00,3,5,0,4647,0,2145,43
2026-08-01T17:04:57+08:00,2,6,0,4658,0,1612,34
2026-08-01T17:05:58+08:00,2,6,0,4666,0,1616,24
2026-08-01T17:06:58+08:00,1,7,0,4674,0,931,5
2026-08-01T17:07:58+08:00,1,7,0,4678,0,931,5
2026-08-01T17:08:58+08:00,0,8,0,4680,0,243,0
2026-08-01T17:09:58+08:00,0,8,0,4680,0,243,0
2026-08-01T17:10:58+08:00,0,8,0,4680,0,243,0
2026-08-01T17:11:58+08:00,0,8,0,4680,0,243,0
2026-08-01T17:12:58+08:00,0,8,0,4680,0,243,0
2026-08-01T17:13:58+08:00,0,8,0,4680,0,243,0
2026-08-01T17:14:58+08:00,0,8,0,4680,0,243,0
2026-08-01T17:15:58+08:00,0,8,0,4680,0,239,0
2026-08-01T17:16:58+08:00,0,8,0,4680,0,239,0
2026-08-01T17:17:58+08:00,0,8,0,4680,0,239,0
2026-08-01T17:18:58+08:00,0,8,0,4680,0,239,0
2026-08-01T17:19:58+08:00,0,8,0,4680,0,239,0
2026-08-01T17:20:58+08:00,0,8,0,4680,0,239,0
2026-08-01T17:21:58+08:00,0,8,0,4680,0,239,0
2026-08-01T17:22:58+08:00,0,8,0,4680,0,239,0
2026-08-01T17:23:58+08:00,0,8,0,4680,0,239,0
2026-08-01T17:24:58+08:00,0,8,0,4680,0,239,0
2026-08-01T17:25:59+08:00,0,8,0,4680,0,239,0
2026-08-01T17:26:59+08:00,0,8,0,4680,0,239,0
2026-08-01T17:27:59+08:00,0,8,0,4680,0,239,0
2026-08-01T17:28:59+08:00,0,8,0,4680,0,239,0
2026-08-01T17:29:59+08:00,0,8,0,4680,0,239,0
2026-08-01T17:30:59+08:00,0,8,0,4680,0,243,0
2026-08-01T17:31:59+08:00,0,8,0,4680,1,243,0
